127.0.0.1 - - [28/Jun/2018:23:02:01 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [28/Jun/2018:23:02:04 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [28/Jun/2018:23:02:14 +0530] "GET /spring-mvc-demo/hello/showForm HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [28/Jun/2018:23:02:18 +0530] "GET /spring-mvc-demo/hello/processFormVersionTwo?studentName=+ HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [28/Jun/2018:23:02:23 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [28/Jun/2018:23:02:33 +0530] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [28/Jun/2018:23:06:52 +0530] "GET /spring-mvc-demo/hello/showForm HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [28/Jun/2018:23:07:44 +0530] "GET /spring-mvc-demo/hello/processFormVersionTwo?studentName=gowtham HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [28/Jun/2018:23:08:53 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [28/Jun/2018:23:08:56 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [28/Jun/2018:23:09:53 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [28/Jun/2018:23:14:51 +0530] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [28/Jun/2018:23:17:09 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [28/Jun/2018:23:17:21 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 1033
0:0:0:0:0:0:0:1 - - [28/Jun/2018:23:19:51 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [28/Jun/2018:23:19:57 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [28/Jun/2018:23:20:02 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [28/Jun/2018:23:20:41 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [28/Jun/2018:23:20:45 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [28/Jun/2018:23:20:45 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [28/Jun/2018:23:20:46 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [28/Jun/2018:23:20:46 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 897
